Model,Accuracy,Precision,Recall,F1,Accuracy Std
Logistic Regression,0.9533333333333334,0.9548821548821549,0.9533333333333334,0.953216374269006,0.04521553322083511
K-Nearest Neighbors,0.9733333333333334,0.9745454545454546,0.9733333333333333,0.9732999164578111,0.02494438257849294
Decision Tree,0.9533333333333335,0.9572390572390572,0.9533333333333334,0.9531151110098477,0.03399346342395189
Random Forest,0.9466666666666667,0.9511784511784512,0.9466666666666667,0.9464317359054201,0.02666666666666666
